time_bucket_sec,avg_latency_ms,p99_latency_ms,rps,error_rate
2025-07-07T11:01:15,8.09,14.35,0.8,0.0
2025-07-07T11:01:20,27.47,88.71,3.6,0.0
2025-07-07T11:01:25,15.12,49.69,6.4,0.0
2025-07-07T11:01:30,18.07,82.35,9.6,0.0
2025-07-07T11:01:35,15.8,50.58,12.8,0.0
2025-07-07T11:01:40,14.1,43.24,15.2,0.0
2025-07-07T11:01:45,17.24,63.84,18.4,0.0
2025-07-07T11:01:50,15.88,54.23,19.6,0.0
2025-07-07T11:01:55,17.75,91.4,20.0,0.0
2025-07-07T11:02:00,17.75,54.71,19.6,0.0
2025-07-07T11:02:05,14.41,45.73,20.0,0.0
2025-07-07T11:02:10,18.18,62.66,19.2,0.0
2025-07-07T11:02:15,16.18,49.52,20.0,0.0
2025-07-07T11:02:20,15.03,61.32,19.2,0.0
2025-07-07T11:02:25,16.49,54.53,19.6,0.0
2025-07-07T11:02:30,15.88,55.96,19.6,0.0
2025-07-07T11:02:35,15.69,55.49,20.0,0.0
2025-07-07T11:02:40,17.5,154.61,19.6,0.0
2025-07-07T11:02:45,15.42,91.17,20.0,0.0
2025-07-07T11:02:50,15.2,68.42,18.0,0.0
2025-07-07T11:02:55,17.11,48.65,12.4,0.0
2025-07-07T11:03:00,17.16,51.87,8.4,0.0
2025-07-07T11:03:05,11.61,34.37,3.2,0.0
2025-07-07T11:03:10,33.07,33.073559,0.4,0.0
